name;state_name;country_name;latitude;longitude;citied_by;cover_date
Guangzhou;Guangdong;China;23.11667;113.25;3;2023-12-01
Beijing;Beijing;China;39.9075;116.39723;1;2023-12-01
Beijing;Beijing;China;39.9075;116.39723;0;2023-12-01
Riga;Riga;Latvia;56.946;24.10589;3;2023-12-01
Vienna;Vienna;Austria;48.20849;16.37208;6;2023-12-01
Shanghai;Shanghai;China;31.22222;121.45806;5;2023-12-01
Kirkuk;Kirkuk Governorate;Iraq;35.46806;44.39222;200;2023-12-01
Houston;Alaska;United States;61.63028;-149.81806;0;2023-12-01
Houston;Mississippi;United States;33.89845;-88.99923;0;2023-12-01
Houston;Missouri;United States;37.32616;-91.95599;0;2023-12-01
Houston;Pennsylvania;United States;40.24646;-80.21145;0;2023-12-01
Houston;Texas;United States;29.76328;-95.36327;0;2023-12-01
Las Vegas;Nevada;United States;36.17497;-115.13722;0;2023-12-01
Las Vegas;New Mexico;United States;35.59393;-105.2239;0;2023-12-01
Logan;Iowa;United States;41.64305;-95.7889;2;2023-12-01
Logan;Ohio;United States;39.54007;-82.4071;2;2023-12-01
Logan;Utah;United States;41.73549;-111.83439;2;2023-12-01
Logan;West Virginia;United States;37.84871;-81.99346;2;2023-12-01
Hamilton;Alabama;United States;34.14232;-87.98864;0;2023-12-01
Hamilton;Georgia;United States;32.75791;-84.87493;0;2023-12-01
Hamilton;Illinois;United States;40.39643;-91.33904;0;2023-12-01
Hamilton;Indiana;United States;41.53366;-84.91274;0;2023-12-01
Hamilton;Missouri;United States;39.74362;-93.99827;0;2023-12-01
Hamilton;Montana;United States;46.24687;-114.16037;0;2023-12-01
Hamilton;New York;United States;42.82701;-75.54462;0;2023-12-01
Hamilton;Ohio;United States;39.3995;-84.56134;0;2023-12-01
Hamilton;Texas;United States;31.70377;-98.12392;0;2023-12-01
Athens;Attica Region;Greece;37.98376;23.72784;4;2023-12-01
Barcelona;Catalonia;Spain;41.38879;2.15899;2;2023-12-01
Liverpool;England;United Kingdom;53.41058;-2.97794;1;2023-12-01
Boston;Georgia;United States;30.79186;-83.78989;1;2023-12-01
Boston;Massachusetts;United States;42.35843;-71.05977;1;2023-12-01
Boston;New York;United States;42.62895;-78.73753;1;2023-12-01
Beijing;Beijing;China;39.9075;116.39723;3;2023-12-01
Washington, D.C.;District of Columbia;United States;38.89511;-77.03637;6;2023-12-01
Baghdad;Baghdad Governorate;Iraq;33.34058;44.40088;0;2023-12-01
Edmonton;Alberta;Canada;53.55014;-113.46871;3;2023-12-01
Sharjah;Sharjah Emirate;United Arab Emirates;25.33737;55.41206;3;2023-12-01
St. Louis;Missouri;United States;38.62727;-90.19789;1;2023-12-01
La Jolla;California;United States;32.84727;-117.2742;10;2023-12-01
Changsha;Guizhou;China;28.68778;105.98972;1;2023-12-01
Changsha;Hunan;China;28.19874;112.97087;1;2023-12-01
Chuncheon;Gangwon Province;South Korea;37.87472;127.73417;0;2023-12-01
Durham;California;United States;39.64627;-121.79998;17;2023-12-01
Durham;Connecticut;United States;41.48176;-72.68121;17;2023-12-01
Durham;New Hampshire;United States;43.13397;-70.92645;17;2023-12-01
Durham;New York;United States;42.39953;-74.17236;17;2023-12-01
Durham;North Carolina;United States;35.99403;-78.89862;17;2023-12-01
Durham;Oregon;United States;45.40206;-122.75287;17;2023-12-01
Enschede;Overijssel;Netherlands;52.21833;6.89583;9;2023-12-01
West Lafayette;Indiana;United States;40.42587;-86.90807;7;2023-12-01
West Lafayette;Ohio;United States;40.27535;-81.75096;7;2023-12-01
Southampton;England;United Kingdom;50.91667;-1.38333;4;2023-12-01
Cali;Valle del Cauca;Colombia;3.41033;-76.58097;7;2023-12-01
Changsha;Guizhou;China;28.68778;105.98972;0;2023-12-01
Changsha;Hunan;China;28.19874;112.97087;0;2023-12-01
Shanghai;Shanghai;China;31.22222;121.45806;8;2023-12-01
Aalborg;North Denmark Region;Denmark;57.048;9.9187;3;2023-12-01
Khulna;Khulna District;Bangladesh;22.5;89.33333;10;2023-12-01
Charlottesville;Virginia;United States;38.02931;-78.47668;4;2023-12-01
Guwahati;Assam;India;26.1844;91.7458;0;2023-12-01
College Park;Georgia;United States;33.65344;-84.44937;0;2023-12-01
College Park;Maryland;United States;38.98067;-76.93692;0;2023-12-01
Beijing;Beijing;China;39.9075;116.39723;3;2023-12-01
Wuhan;Hubei;China;30.58333;114.26667;6;2023-12-01
Boston;Georgia;United States;30.79186;-83.78989;19;2023-12-01
Boston;Massachusetts;United States;42.35843;-71.05977;19;2023-12-01
Boston;New York;United States;42.62895;-78.73753;19;2023-12-01
Stavanger;Rogaland;Norway;58.96941;5.72856;0;2023-12-01
Chicago;Illinois;United States;41.85003;-87.65005;23;2023-12-01
Kunming;Yunnan;China;25.03889;102.71833;6;2023-12-01
Islamabad;Islamabad Capital Territory;Pakistan;33.72148;73.04329;2;2023-12-01
Surat;Gujarat;India;21.17801;72.81189;4;2023-12-01
Chicago;Illinois;United States;41.85003;-87.65005;1;2023-12-01
Taiyuan;Shanxi;China;37.86944;112.56028;3;2023-12-01
Gaborone;South-East District;Botswana;-24.76234;25.7995;26;2023-12-01
Dalian;Liaoning;China;38.91222;121.60222;2;2023-12-01
Addis Ababa;Addis Ababa;Ethiopia;9.02497;38.74689;8;2023-12-01
Shanghai;Shanghai;China;31.22222;121.45806;5;2023-12-01
Zagreb;Zagreb;Croatia;45.81444;15.97798;5;2023-12-01
Kuwait City;Capital Governorate;Kuwait;29.36972;47.97833;7;2023-12-01
Kidlington;England;United Kingdom;51.82166;-1.2886;0;2023-12-01
Waterloo;Ontario;Canada;43.4668;-80.51639;1;2023-12-01
Waterloo;Quebec;Canada;45.35008;-72.51582;1;2023-12-01
East Lansing;Michigan;United States;42.73698;-84.48387;2;2023-12-01
Shangqiu;Henan;China;34.45;115.65;4;2023-12-01
Jinan;Shandong;China;36.66833;116.99722;5;2023-12-01
Oxford;England;United Kingdom;51.75222;-1.25596;4;2023-12-01
Trabzon;Trabzon;Turkey;41.005;39.72694;9;2023-12-01
Beijing;Beijing;China;39.9075;116.39723;2;2023-12-01
New Delhi;Delhi;India;28.63576;77.22445;10;2023-12-01
Chengdu;Sichuan;China;30.66667;104.06667;0;2023-12-01
Beirut;Beirut Governorate;Lebanon;33.89332;35.50157;20;2023-12-01
Kaohsiung;Kaohsiung;Taiwan;22.61626;120.31333;0;2023-12-01
Bangkok;Bangkok;Thailand;13.75398;100.50144;12;2023-12-01
Shenzhen;Guangdong;China;22.55653;113.9859;32;2023-12-01
Santiago;Región Metropolitana de Santiago;Chile;-33.45694;-70.64827;3;2023-12-01
Stellenbosch;Western Cape;South Africa;-33.93462;18.86676;0;2023-12-01
Nantong;Taiwan;China;32.03028;120.87472;10;2023-12-01
Kunming;Yunnan;China;25.03889;102.71833;4;2023-12-01
Darmstadt;Hesse;Germany;49.87167;8.65027;3;2023-12-01
Hangzhou;Zhejiang;China;30.29365;120.16142;1;2023-12-01
Guangzhou;Guangdong;China;23.11667;113.25;43;2023-12-01
Stockport;England;United Kingdom;53.40979;-2.15761;8;2023-12-01
Nantes;Pays-de-la-Loire;France;47.21725;-1.55336;2;2023-12-01
Liaocheng;Shandong;China;36.45596;115.97766;19;2023-12-01
Beijing;Beijing;China;39.9075;116.39723;1;2023-12-01
Baltimore;Maryland;United States;39.29038;-76.61219;1;2023-12-01
Baltimore;Ohio;United States;39.84534;-82.60072;1;2023-12-01
Waco;Texas;United States;31.54933;-97.14667;6;2023-12-01
Lund;Skåne County;Sweden;55.70584;13.19321;4;2023-12-01
Nanning;Guangxi Zhuang;China;22.81667;108.31667;10;2023-12-01
Beijing;Beijing;China;39.9075;116.39723;8;2023-12-01
Nanjing;Taiwan;China;32.06167;118.77778;12;2023-12-01
Athens;Attica Region;Greece;37.98376;23.72784;18;2023-12-01
Stanford;California;United States;37.42411;-122.16608;21;2023-12-01
Stanford;Kentucky;United States;37.53119;-84.66189;21;2023-12-01
Stanford;Montana;United States;47.15358;-110.21826;21;2023-12-01
Tuscaloosa;Alabama;United States;33.20984;-87.56917;2;2023-12-01
San Pedro Garza Garcia;Nuevo León;Mexico;25.65716;-100.40268;6;2023-12-01
Shanghai;Shanghai;China;31.22222;121.45806;0;2023-12-01
Guangzhou;Guangdong;China;23.11667;113.25;13;2023-12-01
Baltimore;Maryland;United States;39.29038;-76.61219;3;2023-12-01
Baltimore;Ohio;United States;39.84534;-82.60072;3;2023-12-01
Raleigh;Mississippi;United States;32.03349;-89.52229;18;2023-12-01
Raleigh;North Carolina;United States;35.7721;-78.63861;18;2023-12-01
Fort Collins;Colorado;United States;40.58526;-105.08442;4;2023-12-01
Seoul;Seoul;South Korea;37.566;126.9784;27;2023-12-01
Seoul;Seoul;South Korea;37.566;126.9784;6;2023-12-01
Boise;Idaho;United States;43.6135;-116.20345;17;2023-12-01
Warsaw;Masovian Voivodeship;Poland;52.22977;21.01178;1;2023-12-01
Cambridge;England;United Kingdom;52.2;0.11667;5;2023-12-01
Berlin;Berlin;Germany;52.52437;13.41053;6;2023-12-01
Milan;Lombardy;Italy;45.46427;9.18951;1;2023-12-01
Changchun;Jilin;China;43.88;125.32278;18;2023-12-01
Adana;Adana;Turkey;37.00167;35.32889;45;2023-12-01
Maoming;Guangdong;China;21.65;110.9;3;2023-12-01
Shanghai;Shanghai;China;31.22222;121.45806;4;2023-12-01
Changchun;Jilin;China;43.88;125.32278;8;2023-12-01
Iowa City;Iowa;United States;41.66113;-91.53017;21;2023-12-01
Paris;Île-de-France;France;48.8534;2.3486;11;2023-12-01
Oslo;Oslo;Norway;59.91273;10.74609;4;2023-12-01
Denver;Colorado;United States;39.73915;-104.9847;4;2023-12-01
Denver;Iowa;United States;42.67137;-92.3374;4;2023-12-01
Denver;North Carolina;United States;35.53125;-81.0298;4;2023-12-01
Denver;Pennsylvania;United States;40.23315;-76.13717;4;2023-12-01
Taipei;Taipei;Taiwan;25.04776;121.53185;5;2023-12-01
Charlottesville;Virginia;United States;38.02931;-78.47668;10;2023-12-01
Palaiseau;Île-de-France;France;48.71828;2.2498;2;2023-12-01
Rome;Lazio;Italy;41.89193;12.51133;36;2023-12-01
Pilani;Rajasthan;India;28.36725;75.60352;0;2023-12-01
Berkeley;California;United States;37.87159;-122.27275;2;2023-12-01
Berkeley;Illinois;United States;41.88892;-87.9034;2;2023-12-01
Berkeley;Missouri;United States;38.7545;-90.33123;2;2023-12-01
Madrid;Madrid;Spain;40.4165;-3.70256;1;2023-12-01
Tiruchirappalli;Tamil Nadu;India;10.97;78.65;4;2023-12-01
Yogyakarta;DI Yogyakarta;Indonesia;-7.80139;110.36472;22;2023-12-01
Seoul;Seoul;South Korea;37.566;126.9784;4;2023-12-01
Cambridge;England;United Kingdom;52.2;0.11667;1;2023-12-01
Quito;Pichincha;Ecuador;-0.22985;-78.52495;16;2023-12-01
Semera;Afar Region;Ethiopia;11.79342;41.00578;15;2023-12-01
Austin;Arkansas;United States;34.99842;-91.98376;6;2023-12-01
Austin;Indiana;United States;38.75839;-85.80803;6;2023-12-01
Austin;Minnesota;United States;43.66663;-92.97464;6;2023-12-01
Austin;Texas;United States;30.26715;-97.74306;6;2023-12-01
Nagoya;Aichi Prefecture;Japan;35.18147;136.90641;3;2023-12-01
Madison;Alabama;United States;34.69926;-86.74833;6;2023-12-01
Madison;Connecticut;United States;41.27954;-72.59843;6;2023-12-01
Madison;Florida;United States;30.46938;-83.41293;6;2023-12-01
Madison;Georgia;United States;33.59568;-83.46794;6;2023-12-01
Madison;Illinois;United States;38.68255;-90.15705;6;2023-12-01
Madison;Indiana;United States;38.73589;-85.37996;6;2023-12-01
Madison;Maine;United States;44.79756;-69.87978;6;2023-12-01
Madison;Minnesota;United States;45.00968;-96.19588;6;2023-12-01
Madison;Mississippi;United States;32.46181;-90.11536;6;2023-12-01
Madison;Nebraska;United States;41.82834;-97.45505;6;2023-12-01
Madison;New Hampshire;United States;43.89924;-71.1484;6;2023-12-01
Madison;New Jersey;United States;40.75982;-74.4171;6;2023-12-01
Madison;North Carolina;United States;36.38542;-79.95949;6;2023-12-01
Madison;Ohio;United States;41.77116;-81.04982;6;2023-12-01
Madison;South Dakota;United States;44.00608;-97.11395;6;2023-12-01
Madison;Virginia;United States;38.38041;-78.2575;6;2023-12-01
Madison;West Virginia;United States;38.06705;-81.81929;6;2023-12-01
Madison;Wisconsin;United States;43.07305;-89.40123;6;2023-12-01
Manila;Metro Manila;Philippines;14.6042;120.9822;10;2023-12-01
Perth;Tasmania;Australia;-41.57231;147.17096;1;2023-12-01
Perth;Western Australia;Australia;-31.95224;115.8614;1;2023-12-01
Siena;Tuscany;Italy;43.31822;11.33064;9;2023-12-01
Esch-sur-Alzette;Canton of Esch-sur-Alzette;Luxembourg;49.49583;5.98056;5;2023-12-01
Atlanta;Georgia;United States;33.749;-84.38798;36;2023-12-01
Atlanta;Illinois;United States;40.25948;-89.23342;36;2023-12-01
Atlanta;Michigan;United States;45.00473;-84.14389;36;2023-12-01
Atlanta;Texas;United States;33.11374;-94.16435;36;2023-12-01
Dundee;Scotland;United Kingdom;56.46913;-2.97489;6;2023-12-01
Coventry;England;United Kingdom;52.40656;-1.51217;17;2023-12-01
Taipei;Taipei;Taiwan;25.04776;121.53185;0;2023-12-01
Cork;Munster;Ireland;51.89797;-8.47061;1;2023-12-01
Cambridge;England;United Kingdom;52.2;0.11667;1;2023-12-01
Pavia;Lombardy;Italy;45.19205;9.15917;15;2023-12-01
Bethesda;Maryland;United States;38.98067;-77.10026;7;2023-12-01
Bethesda;Ohio;United States;40.01618;-81.0726;7;2023-12-01
Vienna;Vienna;Austria;48.20849;16.37208;4;2023-12-01
London;England;United Kingdom;51.50853;-0.12574;21;2023-12-01
Qingdao;Shandong;China;36.06488;120.38042;4;2023-12-01
Bristol;England;United Kingdom;51.45523;-2.59665;0;2023-12-01
Binghamton;New York;United States;42.09869;-75.91797;28;2023-12-01
Bethlehem;North Carolina;United States;35.82569;-81.30703;9;2023-12-01
Bethlehem;Pennsylvania;United States;40.62593;-75.37046;9;2023-12-01
Bethlehem;West Virginia;United States;39.39203;-80.28064;9;2023-12-01
Shanghai;Shanghai;China;31.22222;121.45806;6;2023-12-01
Hasselt;Flanders;Belgium;50.93106;5.33781;3;2023-12-01
Brussels;Brussels-Capital Region;Belgium;50.85045;4.34878;9;2023-12-01
Melbourne;Victoria;Australia;-37.814;144.96332;19;2023-12-01
Heidelberg;Baden-Württemberg;Germany;49.40768;8.69079;4;2023-12-01
Copenhagen;Capital Region of Denmark;Denmark;55.67594;12.56553;1;2023-12-01
Chandigarh;Chandigarh;India;30.73629;76.7884;11;2023-12-01
Tehran;Tehran Province;Iran;35.69439;51.42151;8;2023-12-01
Varanasi;Uttar Pradesh;India;25.31668;83.01041;7;2023-12-01
Graz;Styria;Austria;47.06667;15.45;8;2023-12-01
Wuxi;Hunan;China;26.5844;111.859;23;2023-12-01
Wuxi;Taiwan;China;31.56887;120.28857;23;2023-12-01
Bethlehem;North Carolina;United States;35.82569;-81.30703;21;2023-12-01
Bethlehem;Pennsylvania;United States;40.62593;-75.37046;21;2023-12-01
Bethlehem;West Virginia;United States;39.39203;-80.28064;21;2023-12-01
Bandung;Jawa Barat;Indonesia;-6.92222;107.60694;0;2023-11-30
Wuhan;Hubei;China;30.58333;114.26667;4;2023-11-30
Roorkee;Uttarakhand;India;29.86632;77.89118;142;2023-11-30
Stockport;England;United Kingdom;53.40979;-2.15761;10;2023-11-30
Burnaby;British Columbia;Canada;49.26636;-122.95263;0;2023-11-28
Hoboken;New Jersey;United States;40.74399;-74.03236;0;2023-11-27
Hangzhou;Zhejiang;China;30.29365;120.16142;1;2023-11-25
Lanzhou;Gansu;China;36.05701;103.83987;0;2023-11-24
Redmond;Oregon;United States;44.27262;-121.17392;0;2023-11-24
Redmond;Washington;United States;47.67399;-122.12151;0;2023-11-24
Athens;Attica Region;Greece;37.98376;23.72784;0;2023-11-24
Volos;Lefkada Regional Unit;Greece;39.36103;22.94248;1;2023-11-24
Ibadan;Oyo;Nigeria;7.37756;3.90591;1;2023-11-24
Beijing;Beijing;China;39.9075;116.39723;18;2023-11-23
Atlanta;Georgia;United States;33.749;-84.38798;2;2023-11-22
Atlanta;Illinois;United States;40.25948;-89.23342;2;2023-11-22
Atlanta;Michigan;United States;45.00473;-84.14389;2;2023-11-22
Atlanta;Texas;United States;33.11374;-94.16435;2;2023-11-22
Washington, D.C.;District of Columbia;United States;38.89511;-77.03637;0;2023-11-21
Pittsburgh;Pennsylvania;United States;40.44062;-79.99589;4;2023-11-21
London;England;United Kingdom;51.50853;-0.12574;6;2023-11-21
Boston;Georgia;United States;30.79186;-83.78989;3;2023-11-21
Boston;Massachusetts;United States;42.35843;-71.05977;3;2023-11-21
Boston;New York;United States;42.62895;-78.73753;3;2023-11-21
Ames;Iowa;United States;42.03471;-93.61994;18;2023-11-21
Ames;Texas;United States;30.05383;-94.74353;18;2023-11-21
Birmingham;England;United Kingdom;52.48142;-1.89983;40;2023-11-21
Seoul;Seoul;South Korea;37.566;126.9784;4;2023-11-20
Beijing;Beijing;China;39.9075;116.39723;2;2023-11-17
Lugano;Ticino;Switzerland;46.01008;8.96004;0;2023-11-15
Leuven;Flanders;Belgium;50.87959;4.70093;1;2023-11-15
Nanjing;Taiwan;China;32.06167;118.77778;2;2023-11-15
Hangzhou;Zhejiang;China;30.29365;120.16142;4;2023-11-15
Indore;Madhya Pradesh;India;22.66667;75.75;17;2023-11-15
Shanghai;Shanghai;China;31.22222;121.45806;5;2023-11-15
Wenzhou;Zhejiang;China;27.99942;120.66682;15;2023-11-15
Luoyang;Fujian;China;24.95938;118.683;8;2023-11-15
Luoyang;Guangdong;China;23.16244;114.27342;8;2023-11-15
Luoyang;Henan;China;34.68361;112.45361;8;2023-11-15
Jinan;Shandong;China;36.66833;116.99722;9;2023-11-15
Chengdu;Sichuan;China;30.66667;104.06667;18;2023-11-15
Lowestoft;England;United Kingdom;52.47523;1.75167;11;2023-11-15
Baoding;Hebei;China;38.85111;115.49028;8;2023-11-15
Sevilla;Andalusia;Spain;37.38283;-5.97317;17;2023-11-15
Beijing;Beijing;China;39.9075;116.39723;9;2023-11-15
New Delhi;Delhi;India;28.63576;77.22445;16;2023-11-14
Paris;Île-de-France;France;48.8534;2.3486;9;2023-11-14
New Delhi;Delhi;India;28.63576;77.22445;0;2023-11-13
Madison;Alabama;United States;34.69926;-86.74833;1;2023-11-12
Madison;Connecticut;United States;41.27954;-72.59843;1;2023-11-12
Madison;Florida;United States;30.46938;-83.41293;1;2023-11-12
Madison;Georgia;United States;33.59568;-83.46794;1;2023-11-12
Madison;Illinois;United States;38.68255;-90.15705;1;2023-11-12
Madison;Indiana;United States;38.73589;-85.37996;1;2023-11-12
Madison;Maine;United States;44.79756;-69.87978;1;2023-11-12
Madison;Minnesota;United States;45.00968;-96.19588;1;2023-11-12
Madison;Mississippi;United States;32.46181;-90.11536;1;2023-11-12
Madison;Nebraska;United States;41.82834;-97.45505;1;2023-11-12
Madison;New Hampshire;United States;43.89924;-71.1484;1;2023-11-12
Madison;New Jersey;United States;40.75982;-74.4171;1;2023-11-12
Madison;North Carolina;United States;36.38542;-79.95949;1;2023-11-12
Madison;Ohio;United States;41.77116;-81.04982;1;2023-11-12
Madison;South Dakota;United States;44.00608;-97.11395;1;2023-11-12
Madison;Virginia;United States;38.38041;-78.2575;1;2023-11-12
Madison;West Virginia;United States;38.06705;-81.81929;1;2023-11-12
Madison;Wisconsin;United States;43.07305;-89.40123;1;2023-11-12
Muscat;Muscat Governorate;Oman;23.58413;58.40778;0;2023-11-10
Knoxville;Georgia;United States;32.72431;-83.99769;7;2023-11-10
Knoxville;Illinois;United States;40.90837;-90.28485;7;2023-11-10
Knoxville;Iowa;United States;41.32083;-93.10937;7;2023-11-10
Knoxville;Tennessee;United States;35.96064;-83.92074;7;2023-11-10
Beijing;Beijing;China;39.9075;116.39723;3;2023-11-10
Hefei;Anhui;China;31.86389;117.28083;3;2023-11-09
Ganzhou;Jiangxi;China;25.84664;114.9326;5;2023-11-07
Hefei;Anhui;China;31.86389;117.28083;14;2023-11-07
Columbus;Georgia;United States;32.46098;-84.98771;0;2023-11-06
Columbus;Indiana;United States;39.20144;-85.92138;0;2023-11-06
Columbus;Kansas;United States;37.16923;-94.84412;0;2023-11-06
Columbus;Minnesota;United States;45.26522;-93.05015;0;2023-11-06
Columbus;Mississippi;United States;33.49567;-88.42726;0;2023-11-06
Columbus;Montana;United States;45.63661;-109.25211;0;2023-11-06
Columbus;Nebraska;United States;41.42973;-97.36838;0;2023-11-06
Columbus;New Mexico;United States;31.8276;-107.64002;0;2023-11-06
Columbus;North Carolina;United States;35.25317;-82.19706;0;2023-11-06
Columbus;Ohio;United States;39.96118;-82.99879;0;2023-11-06
Columbus;Texas;United States;29.70662;-96.53969;0;2023-11-06
Columbus;Wisconsin;United States;43.33805;-89.01539;0;2023-11-06
London;England;United Kingdom;51.50853;-0.12574;4;2023-11-04
Qufu;Shandong;China;35.59667;116.99111;1;2023-11-04
Ankara;Ankara;Turkey;39.91987;32.85427;4;2023-11-01
Nanjing;Taiwan;China;32.06167;118.77778;1;2023-11-01
