affiliation_name;state_name;affiliation_country;citied_by
ncstateuniversity;northcarolina;unitedstates;2
oceanuniversityofchina;shandong;china;2
ucsfschoolofmedicine;california;unitedstates;2
universityofcalgary;alberta;canada;2
princeofsongklauniversity;songkhla;thailand;2
rmituniversity;victoria;australia;2
shandonguniversity;shandong;china;2
zhongshanpolytechnic;guangdong;china;2
ibmresearcheurope,ireland;dublin;ireland;2
herbertwertheimcollegeofengineering;florida;unitedstates;2
christuniversity;karnataka;india;2
goizuetabusinessschool;georgia;unitedstates;2
damghanuniversity;semnan;iran;2
imamkhomeiniinternationaluniversity;qazvin;iran;2
ewhawomansuniversity;seoul;southkorea;2
faculteittechniek,bestuurenmanagement,tudelft;zuid-holland;netherlands;2
collegeofengineering;arkansas;unitedstates;2
henryfordhealthsystem;michigan;unitedstates;2
dukeuniversityschoolofmedicine;northcarolina;unitedstates;2
"collegeofarts&amp;sciences";northcarolina;unitedstates;2
guangxiuniversity;guangxi;china;2
bahirdaruniversity;amhara;ethiopia;2
eastchinainstituteoftechnology;jiangxi;china;2
chitkarauniversity,punjab;punjab;india;2
centraluniversityoftamilnadu;tamilnadu;india;2
columbiagrammarandpreparatoryschool;newyork;unitedstates;2
gurunanakdevengineeringcollege,ludhiana;punjab;india;2
chung-anguniversity;seoul;southkorea;2
eastchinanormaluniversity;shanghai;china;2
chongqingthreegorgesuniversity;chongqing;china;2
eberhardkarlsuniversitattubingen;baden-wurttemberg;germany;2
anhuinormaluniversity;anhui;china;2
donggukuniversity,seoul;seoul;southkorea;2
indianauniversityindianapolis;indiana;unitedstates;2
dong-auniversity;busan;southkorea;2
genevagraduateinstitute;geneva;switzerland;2
aarhusuniversitetshospital;midtjylland;denmark;2
indianmaritimeuniversity;tamilnadu;india;2
aberystwythuniversity;ceredigion;unitedkingdom;2
cicerosenterforklimaforskning;oslo;norway;2
arizonastateuniversity;arizona;unitedstates;2
hanyanguniversity;seoul;southkorea;2
chinauniversityofpetroleum(eastchina);shandong;china;2
beijingnormaluniversity;beijing;china;2
amouduniversity;somaliland;somalia;2
banarashinduuniversity;uttarpradesh;india;2
chinashipscientificresearchcenter;jiangsu;china;2
cornelluniversitydepartmentofinformationscience;newyork;unitedstates;2
balajiinstituteofmodernmanagement;maharashtra;india;2
adekunleajasinuniversity;ondo;nigeria;2
europeancommission;brussels;belgium;1
berlinuniversityofappliedsciencesandtechnology;berlin;germany;1
collegeofnanotechnology,science,andengineering;newyork;unitedstates;1
europeanforestinstitute(efi);barcelona;spain;1
collegeofengineeringandcomputing;virginia;unitedstates;1
nyuabudhabi;abudhabi;unitedarabemirates;1
universityofmassachusettsamherst;massachusetts;unitedstates;1
panditdeendayalenergyuniversity;gujarat;india;1
collegeofengineeringandcomputerscience;newyork;unitedstates;1
universityofkwazulu-natal;kwazulu-natal;southafrica;1
universityofmassachusettschanmedicalschool;massachusetts;unitedstates;1
universityofliverpool;merseyside;unitedkingdom;1
osnabruckuniversity;niedersachsen;germany;1
torontometropolitanuniversity;ontario;canada;1
novainformationmanagementschool,universidadenovadelisboa;lisboa;portugal;1
universityofplymouth;devon;unitedkingdom;1
collegeofengineering;massachusetts;unitedstates;1
basfse;rheinland-pfalz;germany;1
fukushimamedicaluniversity;fukushima;japan;1
universityofsussex;eastsussex;unitedkingdom;1
fudanuniversity;shanghai;china;1
nationaluniversityofmongolia;ulaanbaatar;mongolia;1
beijingjiaotonguniversity;beijing;china;1
universityofsouthafrica;gauteng;southafrica;1
universityofscienceandtechnologyofchina;anhui;china;1
stateuniversityofnewyorkalbany;newyork;unitedstates;1
nirmauniversity,instituteoftechnology;gujarat;india;1
beijingwuziuniversity;beijing;china;1
northwestnormaluniversitychina;gansu;china;1
universityofpennsylvaniastuartweitzmanschoolofdesign;pennsylvania;unitedstates;1
norgesgeotekniskeinstitutt;oslo;norway;1
centrodeinvestigacaodidaticaetecnologianaformacaodeformadores(cidtff);aveiro;portugal;1
northchinauniversityofwaterresourcesandelectricpower;henan;china;1
instituteofgeophysicalandgeochemicalexplorationlangfang;hebei;china;1
pennmedicine;pennsylvania;unitedstates;1
universidadefederaldoparana;parana;brazil;1
northeasternuniversityatqinhuangdao;hebei;china;1
northeastinstituteofgeographyandagroecology;jilin;china;1
northminzuuniversity;ningxia;china;1
universidadnacionaldelcallao;callao;peru;1
pekinguniversitypeople'shospital;beijing;china;1
southernuniversityofscienceandtechnology;guangdong;china;1
binghamtonuniversitystateuniversityofnewyork;newyork;unitedstates;1
schoolofengineeringandappliedscience;pennsylvania;unitedstates;1
bristol-myerssquibb;newyork;unitedstates;1
universitasgadjahmada;yogyakarta;indonesia;1
universityofbath,departmentofpsychology;somerset;unitedkingdom;1
commonwealthscientificandindustrialresearchorganisation;australiancapitalterritory;australia;1
universityofalberta,facultyofmedicineanddentistry;alberta;canada;1
sidneykimmelmedicalcollege;pennsylvania;unitedstates;1
centralchinanormaluniversity;hubei;china;1
saveethacollegeofliberalartsandsciences;karnataka;india;1
budapestuniversityoftechnologyandeconomics;budapest;hungary;1
"schoolofeconomics&amp;management";jiangsu;china;1
shirazuniversity;fars;iran;1
californiainstituteoftechnology;california;unitedstates;1
skylineuniversitycollege;sharjah;unitedarabemirates;1
seoulnationaluniversity;seoul;southkorea;1
universitatkoblenz;rheinland-pfalz;germany;1
csic-upv-institutodegestiondelainnovacionydelconocimiento(ingenio);valencia;spain;1
shahidbeheshtiuniversityofmedicalsciences;tehran;iran;1
delftinstituteofappliedmathematics;zuid-holland;netherlands;1
