state_name;affiliation_state;affiliation_country;total_paper_num;total_cited_num;area_km2;paper_num_density;citation_density;academic_index;crdi_index
abudhabi;abudhabi;unitedarabemirates;8;84;59354.39028096085;0.727848507196322;7.64240932556138;9.333333333333334;5.901197055363679
nordrhein-westfalen;nordrhein-westfalen;germany;7;77;34537.8361635312;0.6698667377262898;7.368534114989188;9.625;5.887800284238492
dhaka;dhaka;bangladesh;6;71;30548.5646266249;0.580995311421949;6.875111185159731;10.142857142857142;5.866321213146274
berlin;berlin;germany;6;56;889.247879319029;0.8834572705551237;8.245601191847822;8.0;5.709686154134315
uusimaa;uusimaa;finland;5;59;9037.14350288175;0.5488950756219195;6.47696189233865;9.833333333333334;5.619730100431301
tehran;tehran;iran;16;93;14417.313695593963;1.6707993781470605;9.71152138547979;5.470588235294118;5.617636332973656
himachalpradesh;hp;india;2;39;55397.64070406964;0.18311144239634994;3.5706731267288236;13.0;5.584594856375058
kanagawa;kanagawa;japan;1;26;2384.1982718435356;0.12858366644025002;3.3431753274465006;13.0;5.490586331295584
westerncape;westerncape;southafrica;3;48;129675.35476714552;0.25482474454736603;4.0771959127578565;12.0;5.444006885768407
quebec;qc;canada;17;119;1505505.2764716432;1.1951093485595459;8.36576543991682;6.611111111111111;5.390661966529159
ohio;oh;unitedstates;3;46;116043.6526534473;0.25725170402810665;3.9445261284309687;11.5;5.233925944153025
texas;tx;unitedstates;23;119;685338.8687343894;1.711606233687544;8.855701817774683;4.958333333333333;5.175213794931853
rajasthan;rj;india;3;46;343081.5107532024;0.23537301369635916;3.6090528766775067;11.5;5.114808630124622
noord-brabant;noord-brabant;netherlands;5;52;5201.112441882465;0.5843292209505524;6.077023897885745;8.666666666666666;5.1093399285009875
ontario;on;canada;20;115;1077587.553876187;1.4398603158172616;8.279196815949255;5.476190476190476;5.065082535985664
szeged;na;hungary;1;22;250.55527497700697;0.18090828725267138;3.9799823195587702;11.0;5.05363020227048
distritofederal;df;brazil;6;54;5792.140276367324;0.6924864242036699;6.2323778178330285;7.714285714285714;4.879716652107471
iowa;ia;unitedstates;3;43;145446.36329336744;0.25236445439554833;3.6172238463361928;10.75;4.873196100243914
buskerud;buskerud;norway;1;24;15169.073491760048;0.10387365729113349;2.4929677749872035;12.0;4.865613810759446
missouri;mo;unitedstates;9;75;180475.97622118753;0.7435952595440452;6.196627162867044;7.5;4.81340747413703
neuchatel;ne;switzerland;1;22;845.9576460686383;0.14833162472615316;3.2632957439753696;11.0;4.803875789567175
hanoi;na;vietnam;2;31;3303.2150049985735;0.24682355952996352;3.8257651727144344;10.333333333333334;4.801974021859244
fujian;fujian;china;4;49;120723.6958900323;0.3418432944903553;4.187580357506852;9.8;4.7764745506657365
queensland;qld;australia;10;84;1730135.5915559076;0.6961989180288229;5.848070911442113;7.636363636363637;4.726877821944857
taoyuan;na;taiwan;3;35;1280.2512128382045;0.41925250024101873;4.891279169478552;8.75;4.686843889906523
delhi;dl;india;4;40;1482.388729972833;0.5477887906302824;5.477887906302825;8.0;4.675225565644369
zurich;zh;switzerland;4;40;1738.6108428882562;0.5360912214787914;5.360912214787914;8.0;4.632334478755568
