state_name;affiliation_state;affiliation_country;total_paper_num;total_cited_num;area_km2;paper_num_density;citation_density;academic_index;crdi_index
junin;junin;peru;1;4;44105.85542438571;0.0935071400314887;0.3740285601259548;2.0;0.8225119000524811
riograndedonorte;rn;brazil;1;4;52811.8654827219;0.09195816550761271;0.36783266203045084;2.0;0.8199302758460213
nebraska;ne;unitedstates;1;4;200969.3822907143;0.0818939594755016;0.3275758379020064;2.0;0.803156599125836
lima;lima;peru;2;5;32501.445054035634;0.19251000184756126;0.48127500461890316;1.6666666666666667;0.7801505577110438
karnataka;ka;india;6;8;191841.35560540104;0.49324139070448153;0.6576551876059753;1.1428571428571428;0.7645845737225332
tunis;na;tunisia;1;3;279.26120127661943;0.17743955338324524;0.5323186601497357;1.5;0.7365860711776603
kampala;na;uganda;1;3;308.7975030284224;0.17433998335965048;0.5230199500789514;1.5;0.7324533111462007
riga;na;latvia;1;3;318.06556965360795;0.17344860454892935;0.520345813646788;1.5;0.7312648060652392
uppsala;uppsala;sweden;2;4;7006.354987141026;0.2258683500250382;0.4517367000500764;1.3333333333333333;0.6703127944694826
rhodeisland;ri;unitedstates;1;3;2832.3850914376494;0.12579838857444897;0.3773951657233469;1.5;0.6677311847659319
niedersachsen;niedersachsen;germany;3;5;47595.54335703318;0.27853820205285634;0.46423033675476055;1.25;0.6642561796025389
nakhonratchasima;nakhonratchasima;thailand;2;4;20760.07680644804;0.20119033850887785;0.4023806770177557;1.3333333333333333;0.6456347829533223
antalya;na;turkiye;1;3;21198.848789480962;0.1003839754512717;0.3011519263538151;1.5;0.6338453006016956
espiritosanto;es;brazil;1;3;45807.467318531504;0.09317733012892997;0.2795319903867899;1.5;0.6242364401719066
maine;me;unitedstates;1;3;84257.69062548566;0.08817061581773937;0.2645118474532181;1.5;0.6175608210903192
alabama;al;unitedstates;2;4;133834.90893377384;0.16942878266676117;0.33885756533352235;1.3333333333333333;0.6138732271112056
odisha;or;india;1;3;155187.88595620397;0.08366521740276431;0.25099565220829295;1.5;0.6115536232036858
shanxi;shanxi;china;1;3;156093.54659709273;0.08362450570478883;0.25087351711436645;1.5;0.6114993409397185
baghdad;baghdad;iraq;2;3;658.2100815818466;0.30811692732061036;0.4621753909809156;1.0;0.590097439433842
hessen;hessen;germany;3;4;21012.469010877172;0.3014191145711956;0.4018921527615941;1.0;0.5677704224442632
tashkent;na;uzbekistan;8;4;14929.1146663136;0.8323678238743761;0.41618391193718807;0.4444444444444444;0.5643320600853362
nottinghamshire;nottinghamshire;unitedkingdom;1;2;2080.995712593003;0.13087151468176428;0.26174302936352856;1.0;0.4642048480150976
aveiro;aveiro;portugal;1;2;2766.695984910306;0.12617069882252008;0.25234139764504016;1.0;0.45950403215585345
busan;na;southkorea;2;2;282.09415249777265;0.3542469178997226;0.3542469178997226;0.6666666666666666;0.4583868341553707
atlantico;atlantico;colombia;1;2;3342.727349013959;0.12323099691174753;0.24646199382349507;1.0;0.45656433024508086
lagos;lagos;nigeria;1;2;3545.181726189189;0.12234471093430266;0.24468942186860532;1.0;0.45567804426763603
coimbra;coimbra;portugal;1;2;3959.680941042099;0.12071213528946845;0.2414242705789369;1.0;0.45404546862280176
qom;na;iran;1;2;11602.510008953861;0.10684830401603053;0.21369660803206106;1.0;0.4401816373493639
terengganu;terengganu;malaysia;1;2;13096.116459264596;0.10548359231676264;0.2109671846335253;1.0;0.438816925650096
badajoz;badajoz;spain;1;2;21990.10020744076;0.10001607143781348;0.20003214287562696;1.0;0.4333494047711468
kentucky;ky;unitedstates;1;2;104577.76784295173;0.08652243622599944;0.17304487245199887;1.0;0.4198557695593328
kansas;ks;unitedstates;1;2;212825.58313709893;0.0815113312670283;0.1630226625340566;1.0;0.4148446646003616
roraima;rr;brazil;1;2;224746.38133197642;0.08115083372666108;0.16230166745332217;1.0;0.4144841670599944
limassol;na;cyprus;3;2;1272.3010859636038;0.4196175051142231;0.27974500340948205;0.5;0.39978750284123504
ticino;ti;switzerland;2;2;2920.8460598454617;0.25062748011412866;0.25062748011412866;0.6666666666666666;0.38930720896497467
nicosia;na;cyprus;3;2;1967.9460500993875;0.3955042411378141;0.2636694940918761;0.5;0.3863912450765634
merseyside;merseyside;unitedkingdom;1;1;138.67188123094792;0.20245800349175994;0.20245800349175994;0.5;0.3016386689945066
districtofcolumbia;dc;unitedstates;1;1;162.23529163041653;0.19626343209724448;0.19626343209724448;0.5;0.29750895473149636
distritocapital;distritocapital;colombia;1;1;369.30332415172404;0.16908107495872543;0.16908107495872543;0.5;0.27938738330581697
harare;harare;zimbabwe;1;1;929.1671029565815;0.1462979825707851;0.1462979825707851;0.5;0.26419865504719003
monastir;monastir;tunisia;1;1;1005.4272222525152;0.14463068835264847;0.14463068835264847;0.5;0.26308712556843233
northamptonshire;northamptonshire;unitedkingdom;1;1;2327.0357251504424;0.12898598696986616;0.12898598696986616;0.5;0.2526573246465775
alicante;alicante;spain;1;1;5808.001822000025;0.11537799404153554;0.11537799404153554;0.5;0.2435853293610237
edo;edo;nigeria;1;1;19769.459245904298;0.10109236215938869;0.10109236215938869;0.5;0.23406157477292577
zanjan;zanjan;iran;1;1;22206.30189661021;0.09991830251894096;0.09991830251894096;0.5;0.23327886834596065
oyo;oyo;nigeria;1;1;27507.734274231036;0.09782573649710313;0.09782573649710313;0.5;0.2318838243314021
brandenburg;brandenburg;germany;1;1;30037.69594021871;0.09699093674658214;0.09699093674658214;0.5;0.2313272911643881
kaduna;na;nigeria;1;1;44510.284432417226;0.09342740085974062;0.09342740085974062;0.5;0.2289516005731604
vasterbotten;vasterbotten;sweden;1;1;58726.906752660674;0.09106912165945245;0.09106912165945245;0.5;0.22737941443963497
yazd;yazd;iran;1;1;127568.9049025391;0.08505990937821621;0.08505990937821621;0.5;0.22337327291881082
razavikhorasan;razavikhorasan;iran;1;1;136915.32231379958;0.08455140030813726;0.08455140030813726;0.5;0.2230342668720915
illizi;illizi;algeria;1;1;196092.13394316426;0.08205905873503314;0.08205905873503314;0.5;0.22137270582335544
newmexico;nm;unitedstates;1;1;315076.37279347057;0.07898536340165267;0.07898536340165267;0.5;0.2193235756011018
goias;go;brazil;1;1;341246.9525043914;0.07849068919113644;0.07849068919113644;0.5;0.21899379279409095
khuzestan;khuzestan;iran;2;1;63838.10169640942;0.1807644702117289;0.09038223510586445;0.3333333333333333;0.20149334621697554
daejeon;na;southkorea;1;0;366.09793367851626;0.16932998284881615;0.0;0.0;0.05644332761627205
haifa;na;israel;1;0;856.7722104516247;0.14805298681110116;0.0;0.0;0.04935099560370038
derbyshire;derbyshire;unitedkingdom;1;0;2581.0895052008314;0.12728550291610113;0.0;0.0;0.04242850097203371
braga;braga;portugal;1;0;2698.6616112342767;0.12656815227417403;0.0;0.0;0.04218938409139134
lisboa;lisboa;portugal;1;0;2741.0940194363484;0.1263188134423245;0.0;0.0;0.042106271147441504
muscat;na;oman;1;0;4621.55183827302;0.11850163437004399;0.0;0.0;0.03950054479001466
chimborazo;chimborazo;ecuador;1;0;5753.7923029402655;0.11550294063081222;0.0;0.0;0.03850098021027074
northyorkshire;northyorkshire;unitedkingdom;1;0;7982.057535618447;0.11129565455525865;0.0;0.0;0.03709855151841955
hiroshima;hiroshima;japan;1;0;8302.057702891527;0.11081094735411336;0.0;0.0;0.03693698245137112
banten;banten;indonesia;1;0;9514.977962929484;0.1091616352443043;0.0;0.0;0.03638721174810144
gifu;gifu;japan;1;0;10685.667231307798;0.10779634720028762;0.0;0.0;0.03593211573342921
centralfinland;centralfinland;finland;1;0;19394.201850594956;0.10128858335856165;0.0;0.0;0.03376286111952055
tabuk;tabuk;saudiarabia;1;0;99208.46968997529;0.08691881598412936;0.0;0.0;0.028972938661376454
mississippi;ms;unitedstates;1;0;123806.48769843725;0.0852770596093578;0.0;0.0;0.0284256865364526
freestate;freestate;southafrica;1;0;129716.02312672848;0.08493931918092718;0.0;0.0;0.02831310639364239
nevada;nv;unitedstates;1;0;287089.42468277377;0.0795699877848099;0.0;0.0;0.026523329261603303
northernterritory;nt;australia;1;0;1348467.5583045827;0.07084922664837282;0.0;0.0;0.02361640888279094
