state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2;year;month;total_paper_num;total_cited_num;paper_num_density;citation_density;academic_index;crdi_index
;na;;Oracle Labs;1;2020-11-01;;22789.176045694046;2020;11;56;4907;5.580977324234948;489.03313803608734;86.08771929824562;193.56727821952265
;na;;Oracle Labs;1;2020-11-01;;30.998015667873815;2020;11;56;4907;16.15847358100739;1415.8862475357723;86.08771929824562;506.0441468050085
;na;;Oracle Labs;1;2020-11-01;;7.659317640299705;2020;11;56;4907;25.942308913799188;2273.1948185716537;86.08771929824562;795.0749489278995
;na;;Oracle Labs;1;2020-11-01;;0.6005401661100286;2020;11;56;4907;119.06250791315946;10432.852255890597;86.08771929824562;3546.0008277006673
;na;;Oracle Labs;1;2020-11-01;;3.0224599549822613;2020;11;56;4907;40.23295904691698;3525.4130364861003;86.08771929824562;1217.244571610421
;na;;Oracle Labs;1;2020-11-01;;133.29701355842872;2020;11;56;4907;11.428445794526104;1001.4175627453499;86.08771929824562;366.3112426127072
;na;;Oracle Labs;1;2020-11-01;;37.868741813126185;2020;11;56;4907;15.299750630131465;1340.6406489652695;86.08771929824562;480.6760396312156
shanghai;na;china;Shanghai University;2;2020-11-01;;6746.037435237712;2020;11;17;604;1.9281243362016747;68.50512347445951;33.55555555555556;34.66293445540558
beijing;na;china;University of Chinese Academy of Sciences;268;2020-11-01;;16251.925428963288;2020;11;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
seoul;na;southkorea;Yonsei University;8;2020-11-01;;577.7896951119151;2020;11;13;437;2.04372335754701;68.70054671138796;31.214285714285715;33.98618526107356
beijing;na;china;Institute of Psychology Chinese Academy of Sciences;105;2020-11-01;;16251.925428963288;2020;11;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
budapest;na;hungary;Obuda University;25;2020-11-01;;538.4248558570337;2020;11;12;568;1.9076374440737223;90.29483901948952;43.69230769230769;45.29826138529031
daejeon;na;southkorea;Korea Advanced Institute of Science and Technology;21;2020-11-01;;366.09793367851626;2020;11;5;152;0.8466499142440806;25.738157393020053;25.333333333333332;17.30604688019916
beijing;na;china;Beijing University of Technology;3;2020-10-30;;16251.925428963288;2020;10;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
mexico;na;mexico;Universidad Iberoamericana;1;2020-10-29;;21825.722321975536;2020;10;3;39;0.3002735404065917;3.9035560252856922;9.75;4.651276521897429
beijing;na;china;Beihang University;35;2020-10-28;;16251.925428963288;2020;10;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
ulsan;na;southkorea;Ulsan National Institute of Science and Technology;1;2020-10-24;;1035.8002775231453;2020;10;2;20;0.2880228052335608;2.8802280523356076;6.666666666666667;3.2783058414119455
tianjin;na;china;Nankai University;5;2020-10-24;;11475.448711234842;2020;10;6;105;0.6418449343943531;11.23228635190118;15.0;8.95804376209851
