state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
;na;india;bhagwanparshuraminstituteoftechnology;0;2023-10-01;;
beijing;na;china;tsinghuauniversity;11;2023-10-01;;16251.925428963288
shanghai;na;china;tongjiuniversity;8;2023-10-01;;6746.037435237712
berlin;na;germany;mercatorresearchinstituteonglobalcommonsandclimatechange;7;2023-10-01;;889.247879319029
beijing;na;china;"beijinginformationscience&amp;technologyuniversity";2;2023-10-01;;16251.925428963288
;na;unitedstates;schoolofengineeringandappliedscience;10;2023-10-01;;
shanghai;na;china;shanghaijiaotonguniversity;28;2023-10-01;;6746.037435237712
beijing;na;china;schoolofeconomicsandmanagement;3;2023-10-01;;16251.925428963288
;na;kuwait;australianuniversity;3;2023-10-01;;
;na;italy;universitadeglistudidinapolifedericoii;11;2023-10-01;;
ankara;na;turkey;hacettepeuniversitesi;0;2023-09-29;;25685.671731278824
beijing;na;china;universityofchineseacademyofsciences;1;2023-09-28;;16251.925428963288
;na;na;na;1;2023-09-28;;
;na;luxembourg;universityofluxembourg;1;2023-09-26;;
montevideo;na;uruguay;universidaddelarepublica;0;2023-09-25;;539.7666713247581
;na;netherlands;ethicqual;1;2023-09-25;;
brussels;na;belgium;europeancommissionjointresearchcentre;23;2023-09-20;;164.53809274643118
kualalumpur;na;malaysia;asiapacificuniversityoftechnologyandinnovation;0;2023-09-18;;239.05539904561607
;na;china;people'sliberationarmycollegeofinternationalrelations;1;2023-09-15;;
beijing;na;china;chineseresearchacademyofenvironmentalsciences;7;2023-09-15;;16251.925428963288
alahmadi;na;kuwait;americanuniversityofthemiddleeast;31;2023-09-15;;4812.902586468782
;na;kenya;centreforgeographicmedicineresearch;7;2023-09-12;;
;na;na;na;40;2023-09-12;;
;na;italy;universitadeglistudidinapolifedericoii;1;2023-09-08;;
;na;na;na;0;2023-09-01;;
manila;na;philippines;delasalle-collegeofsaintbenilde;0;2023-09-01;;49.164154935471664
;na;na;na;2;2023-09-01;;
beijing;na;china;instituteofgeographicsciencesandnaturalresourcesresearch,chineseacademyofsciences;5;2023-09-01;;16251.925428963288
;na;slovakia;universityofzilina;5;2023-09-01;;
beijing;na;china;chineseresearchacademyofenvironmentalsciences;1;2023-09-01;;16251.925428963288
dhaka;na;bangladesh;universityofliberalartsbangladesh;2;2023-09-01;;30548.5646266249
reykjavik;na;iceland;haskoliislands;9;2023-09-01;;355.0193636220749
