state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
fujian;fujian;china;huaqiaouniversity;187;2022-12-01;;120723.6958900323
jiangsu;jiangsu;china;jiangsuuniversity;184;2022-05-01;;100090.7772935139
;rm;italy;consiglionazionaledellericerche;183;2022-01-01;;
devon;devon;unitedkingdom;universityofexetermedicalschool;180;2022-01-01;;6587.9001432973
ogun;ogun;nigeria;redeemer'suniversity;178;2022-08-01;;16208.1297856275
;styria;austria;medizinischeuniversitatgraz;175;2022-06-01;;
barcelona;barcelona;spain;universitatdebarcelona;175;2022-04-01;;7753.0499164184
fujian;fujian;china;xiamenuniversity;174;2022-09-01;;120723.6958900323
;leinster;ireland;universitycollegedublin;173;2022-09-01;;
selangor;selangor;malaysia;taylor'suniversitymalaysia;169;2022-04-07;;7729.6797853954
;mi;italy;politecnicodimilano;168;2022-02-15;;
zhejiang;zhejiang;china;zhejianginternationalstudiesuniversity;168;2022-01-01;;101337.2056883386
zhejiang;zhejiang;china;thesecondaffiliatedhospitalzhejianguniversityschoolofmedicine;165;2022-05-20;;101337.2056883386
vastragotaland;vastragotaland;sweden;goteborgsuniversitet;165;2022-03-01;;29476.73914203
sichuan;sichuan;china;sichuannormaluniversity;165;2022-01-01;;484815.9727816655
hubei;hubei;china;huazhongagriculturaluniversity;164;2022-02-01;;185599.3219275883
;scotland;unitedkingdom;universityofglasgow;156;2022-02-01;;
;middlesex;unitedkingdom;bruneluniversitylondon;153;2022-01-01;;
hunan;hunan;china;hunanuniversity;149;2022-01-01;;211351.4896151163
guangdong;guangdong;china;sunyat-senbusinessschool;149;2022-01-15;;175489.8177846857
;na;na;na;1190;2022-08-02;;
;na;unitedkingdom;king'scollegelondon;617;2022-04-23;;
;na;switzerland;organisationmondialedelasante;551;2022-02-26;;
beijing;na;china;beijinginstituteoftechnology;351;2022-10-01;;16251.9254289633
beijing;na;china;beijinginstituteoftechnology;336;2022-09-01;;16251.9254289633
beijing;na;china;pekinguniversity;321;2022-04-01;;16251.9254289633
;na;na;na;314;2022-01-01;;
;na;unitedkingdom;"londonschoolofhygiene&amp;tropicalmedicine";284;2022-02-19;;
;na;na;na;280;2022-03-11;;
beijing;na;china;beijinginstituteoftechnology;210;2022-06-01;;16251.9254289633
;na;switzerland;organisationmondialedelasante;202;2022-04-01;;
shanghai;na;china;ruijinhospital;196;2022-03-11;;6746.0374352377
nicosia;na;cyprus;uluslararasikibrisuniversitesi;190;2022-12-01;;1967.9460500994
nicosia;na;cyprus;uluslararasikibrisuniversitesi;189;2022-01-01;;1967.9460500994
antalya;na;turkiye;akdenizuniversitesi;184;2022-06-01;;21198.848789481
berlin;na;germany;technischeuniversitatberlin;182;2022-01-15;;889.247879319
