state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
ljubljana;na;slovenia;"institut""jozefstefan""";157;2023-09-01;;276.4264340186
;na;india;godwittechnologies;156;2023-03-01;;
beijing;na;china;beijinguniversityofchemicaltechnology;148;2023-12-01;;16251.9254289633
pathumthani;na;thailand;rangsituniversity;130;2023-01-02;;1478.0577200548
shanghai;na;china;shanghaiuniversity;130;2023-09-01;;6746.0374352377
beijing;na;china;beijingnormaluniversity;129;2023-05-08;;16251.9254289633
beijing;na;china;beijingnormaluniversity;112;2023-12-01;;16251.9254289633
daejeon;na;southkorea;electronicsandtelecommunicationsresearchinstitute;109;2023-02-01;;366.0979336785
beijing;na;china;instituteofgeographicsciencesandnaturalresourcesresearch,chineseacademyofsciences;104;2023-12-01;;16251.9254289633
dhaka;na;bangladesh;northsouthuniversity;104;2023-01-01;;30548.5646266249
victoria;vic;australia;swinburneuniversityoftechnology;177;2023-02-01;;227944.597594159
victoria;vic;australia;swinburneuniversityoftechnology;177;2023-02-01;;227944.597594159
victoria;vic;australia;schoolofengineeringandinformationtechnology;163;2023-09-30;;227944.597594159
victoria;vic;australia;schoolofengineeringandinformationtechnology;163;2023-09-30;;227944.597594159
maryland;md;unitedstates;universityofmaryland,collegepark;134;2023-02-01;;25461.8359249494
maryland;md;unitedstates;universityofmaryland,collegepark;134;2023-02-01;;25461.8359249494
victoria;vic;australia;swinburneuniversityoftechnology;125;2023-01-01;;227944.597594159
victoria;vic;australia;swinburneuniversityoftechnology;125;2023-01-01;;227944.597594159
punjab;pb;india;chitkarauniversity,punjab;121;2023-01-01;;50378.2424498875
punjab;pb;india;chitkarauniversity,punjab;121;2023-01-01;;50378.2424498875
punjab;pb;india;gurunanakdevengineeringcollege,ludhiana;108;2023-08-15;;50378.2424498875
punjab;pb;india;gurunanakdevengineeringcollege,ludhiana;108;2023-08-15;;50378.2424498875
